,xlogp3,apol,bpol,nHBAcc,nHBDon,TopoPSA,ATSc1,ATSm1,ATSp1,SC.3,VC.3,SPC.4,VPC.4,SP.0,VP.0,ECCEN,fragC,Kier1,topoShape,VABC,VAdjMat,WTPT.1,WPATH,WPOL,Zagreb,AMR,nAtom,nB,MW,XLogP,BCUTp.1h
xlogp3,1.0,0.1630047719111767,-0.020493827763031196,-0.423704128042928,-0.4433416839438846,-0.47232103186254626,-0.27727793657078786,-0.06098207389183347,0.22202270609138858,-0.17762433110112977,-0.004318192555315944,-0.06289606306543981,0.05706562544550282,0.039503126559697774,0.13699153113011064,0.04155128218371542,0.09381993513578557,-0.022870801097010476,-0.17645200285399448,0.0771692792437017,0.1514296622704654,0.12733186863484566,-0.039391367264088505,0.10606283347198571,0.12861305372067644,0.2688944564404534,0.08625148828721237,0.14149109510079155,0.029350246138717347,0.852275952023019,0.2693973593445251
apol,0.1630047719111767,1.0,0.9266329226228285,0.6197103475810047,0.5560624066269552,0.6748269004471736,0.7828004455321007,0.9348685238736009,0.9629093842466466,0.8220775071774887,0.8447605896315954,0.9149030123603368,0.8938689997029006,0.9781690684223796,0.9953171485422755,0.9307058058974677,0.86973427281061,0.9642793493515417,0.28561461326017595,0.9909468119742887,0.938025077896727,0.9833347412047092,0.8600205898959383,0.9666986792451525,0.9730249433596527,0.976778103110616,0.9922916898474123,0.9798239583603496,0.9753285334793355,0.09458335498207202,0.7924669962158406
bpol,-0.020493827763031196,0.9266329226228285,1.0,0.7508612116250004,0.5337812734685465,0.7410228888153334,0.8725722974431623,0.9395937603775631,0.842463122777876,0.8720371905884547,0.8162856815449614,0.863829545284298,0.8256943672582232,0.9253341653070767,0.9320477948199795,0.8918225570025526,0.7936534191202778,0.9288787054059319,0.26750435097082814,0.9330586643599024,0.8517506916038613,0.9084546282301345,0.8494711095867904,0.8819117106306721,0.8975676124765094,0.8518283246063156,0.9391137563238432,0.9012470802966417,0.9369194004932871,-0.055592621930418,0.6630647044191812
nHBAcc,-0.423704128042928,0.6197103475810047,0.7508612116250004,1.0,0.7170343794400685,0.9061456127517726,0.917636390952146,0.7924572587625729,0.5530910459904755,0.788224906977037,0.6086042340200291,0.7366261534978927,0.5881725291854428,0.7314560219982321,0.6604717613992735,0.6994833128396222,0.5620310060134313,0.7431822892816154,0.16375674697293835,0.6718599771777198,0.653586171437985,0.6906534574787337,0.6807659268771952,0.6641103284576415,0.6904846518346189,0.5308462745718299,0.6549800963728623,0.6840009568755365,0.7465224348140699,-0.46807419449948773,0.38145308567159186
nHBDon,-0.4433416839438846,0.5560624066269552,0.5337812734685465,0.7170343794400685,1.0,0.867829020445748,0.7448462079456919,0.6779423507657214,0.48415753202099393,0.6416400522634798,0.5479460043714469,0.7110582881387746,0.5114536608716672,0.6583907380342231,0.569946124271356,0.6201122723471131,0.4929992612607449,0.680716178911103,0.3340623373091889,0.6095736498512148,0.5650710541313051,0.6056408504665252,0.6110280283348731,0.611824549230567,0.599435318481277,0.5084508699025514,0.6073607245295997,0.5958275010291673,0.6576864300203781,-0.47978398385393883,0.288995354087374
TopoPSA,-0.47232103186254626,0.6748269004471736,0.7410228888153334,0.9061456127517726,0.867829020445748,1.0,0.920187897063574,0.8567113460226891,0.603032028704179,0.852760802654579,0.6566358878907292,0.812457205568376,0.6248900173536324,0.7932403892223951,0.7092901676372948,0.7659800286669446,0.634639377729162,0.8181992500444121,0.31006290339455517,0.7370760873664448,0.6763955951837248,0.7362075677203505,0.7641764037237123,0.7243425860289502,0.7316706118023915,0.6070110424630536,0.7103267750487317,0.7253416354739454,0.8030912155494141,-0.5234955037167198,0.39664316808239225
ATSc1,-0.27727793657078786,0.7828004455321007,0.8725722974431623,0.917636390952146,0.7448462079456919,0.920187897063574,1.0,0.9190662877409961,0.7130345379551807,0.8936216136726925,0.7337761808658398,0.8661103432764098,0.7203945471123583,0.8770527057992841,0.8185215026747862,0.8262570803742645,0.7027685760831471,0.8890863952043775,0.2076790342110571,0.8356313077324681,0.7673002973458859,0.8351394431692072,0.8163192147384466,0.8246538048080878,0.8308262202551642,0.7127401026133156,0.8133281460883699,0.8264818596257408,0.8867102626855655,-0.3082535442522718,0.48907306799640227
ATSm1,-0.06098207389183347,0.9348685238736009,0.9395937603775631,0.7924572587625729,0.6779423507657214,0.8567113460226891,0.9190662877409961,1.0,0.8878561512173152,0.9351242292751212,0.830046273211789,0.9427412925607909,0.8501603815654168,0.9757942113753182,0.9520413393789713,0.9397966655344413,0.8528861370132585,0.9698077903848142,0.28741689289884637,0.9543047455604005,0.8991750130611893,0.9601852784763258,0.8959140769873827,0.9427932610786783,0.9565470669967928,0.901917664303268,0.9326665241405612,0.955354313131212,0.9860773728029204,-0.1168321846937811,0.6952308736150796
ATSp1,0.22202270609138858,0.9629093842466466,0.842463122777876,0.5530910459904755,0.48415753202099393,0.603032028704179,0.7130345379551807,0.8878561512173152,1.0,0.7771630099576916,0.8391470357815909,0.910707591808022,0.9339924295069517,0.941808758972691,0.9641779867195701,0.8799180909742603,0.905342407162182,0.9037075460970188,0.21435098428170293,0.9470493315295022,0.9152498668961269,0.9677289247460639,0.8018420040633613,0.9782848267110636,0.9713335568749082,0.9678996073860431,0.9388635728437145,0.9711403961785374,0.9384383885640616,0.18633676219031092,0.8513306999857255
SC.3,-0.17762433110112977,0.8220775071774887,0.8720371905884547,0.788224906977037,0.6416400522634798,0.852760802654579,0.8936216136726925,0.9351242292751212,0.7771630099576916,1.0,0.8708336039438762,0.8962567801300073,0.8069712676980138,0.8933966636502224,0.8489394309141399,0.8502382940699197,0.7770463889466579,0.8943659187937665,0.31552446609679524,0.8594840085717526,0.7971281185929443,0.85938416501042,0.8279253998603997,0.8489798020593113,0.8648728049572271,0.7832194645015946,0.8248666707589082,0.8538142161478518,0.9010894010390555,-0.22241092174745278,0.6050623872061246
